household_ID,room_ID,ac_ID,type_of_the_ac,is_the_ac_inverter_or_not,is_room_fully_sealed,wattage_of_the_ac,btu_of_the_ac,no_of_hours_ac_was_on_during_daytime_last_week,no_of_hours_ac_was_on_during_night_last_week,month,consumption
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2022-10-31,284
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2022-11-30,300
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2022-12-31,289
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-01-31,246
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-02-28,252
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-03-31,249
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-04-30,282
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-05-31,283
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-06-30,305
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-07-31,314
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-08-31,290
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-09-30,326
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-10-31,289
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-11-30,305
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2023-12-31,322
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2024-01-31,299
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2024-02-29,295
ID0012,I3,I3_AC1,Individual AC with one component,Yes,Fully Sealed,1500.0,,0.0,45.0,2024-03-31,338
