household_ID,total_hours_appliances,num_appliances,num_lights,socio_economic_class,cluster,avg_consumption
ID0001,98.0,8.0,10.0,SEC C,0,91.36
ID0002,168.0,4.0,50.0,SEC D,1,47.36
ID0003,226.51,19.0,16.0,SEC A,2,188.52
ID0004,218.0,16.0,30.0,SEC A,2,236.24
ID0005,391.5,11.0,3.0,SEC D,3,94.04
ID0006,243.15,10.0,6.0,SEC E,2,151.96
ID0007,170.83,9.0,6.0,SEC C,1,82.72
ID0008,215.75,17.0,10.0,SEC B,1,65.16
ID0009,35.33,5.0,6.0,SEC C,0,26.08
ID0010,221.25,12.0,7.0,SEC E,2,70.76
ID0011,168.58,3.0,21.0,SEC A,1,84.88
ID0012,489.97,32.0,21.0,SEC A,3,312.08
ID0013,185.0,10.0,10.0,SEC A,1,153.08
ID0014,201.25,14.0,17.0,SEC A,1,135.2
ID0015,213.48,11.0,6.0,SEC D,1,96.08
ID0016,185.5,15.0,5.0,SEC D,1,92.6
ID0017,77.0,7.0,1.0,SEC C,0,27.68
ID0018,202.82,32.0,47.0,SEC A,1,371.76
ID0019,176.75,11.0,16.0,SEC B,1,88.96
ID0020,178.0,10.0,10.0,SEC B,1,64.16
ID0021,58.45,29.0,21.0,SEC B,0,0.52
ID0022,213.8,17.0,11.0,SEC A,1,94.36
ID0023,33.5,8.0,9.0,SEC C,0,51.72
ID0024,198.0,21.0,49.0,SEC C,1,240.72
ID0025,190.0,10.0,14.0,SEC C,1,60.6
ID0026,213.0,14.0,18.0,SEC B,1,170.28
ID0027,171.0,12.0,14.0,SEC C,1,77.24
ID0028,256.9,9.0,6.0,SEC C,2,76.24
ID0029,188.7,16.0,11.0,SEC C,1,98.04
ID0030,168.3,4.0,4.0,SEC C,1,48.24
ID0031,1.0,3.0,4.0,SEC E,0,28.52
ID0032,94.0,9.0,5.0,SEC C,0,41.64
ID0033,207.0,5.0,7.0,SEC C,1,77.92
ID0034,250.36,10.0,139.0,SEC E,2,483.0
ID0035,23.0,5.0,7.0,SEC C,0,53.8
ID0036,192.83,12.0,5.0,SEC E,1,64.8
ID0037,27.25,9.0,45.0,SEC D,0,44.28
ID0038,3.75,7.0,18.0,SEC C,0,93.56
ID0039,209.025,23.0,21.0,SEC B,1,197.32
ID0040,35.46,11.0,28.0,SEC D,0,77.92
ID0041,201.05,31.0,59.0,SEC A,1,89.04
ID0042,35.75,11.0,7.0,SEC E,0,91.72
ID0043,291.565,30.0,53.0,SEC A,2,394.5833333333333
ID0044,0.1,4.0,3.0,SEC E,0,29.96
ID0045,182.25,16.0,6.0,SEC E,1,99.68
ID0046,203.76,16.0,4.0,SEC C,1,129.52
ID0047,4.0,3.0,6.0,SEC D,0,39.875
ID0048,215.0,14.0,8.0,SEC B,1,60.88
ID0049,176.4,11.0,63.0,SEC D,1,193.8
ID0050,239.0,15.0,18.0,SEC A,2,155.84
ID0051,28.33,3.0,6.0,SEC B,0,48.32
ID0052,173.99,5.0,9.0,SEC B,1,159.64
