household_ID,avg_consumption,total_hours_appliances,num_appliances,num_lights,socio_economic_class
ID0001,91.36,98.0,8.0,10.0,SEC C
ID0002,47.36,168.0,4.0,50.0,SEC D
ID0003,188.52,226.51,19.0,16.0,SEC A
ID0004,236.24,218.0,16.0,30.0,SEC A
ID0005,94.04,391.5,11.0,3.0,SEC D
ID0006,151.96,243.15,10.0,6.0,SEC E
ID0007,82.72,170.83,9.0,6.0,SEC C
ID0008,65.16,215.75,17.0,10.0,SEC B
ID0009,26.08,35.33,5.0,6.0,SEC C
ID0010,70.76,221.25,12.0,7.0,SEC E
ID0011,84.88,168.58,3.0,21.0,SEC A
ID0012,312.08,489.97,32.0,21.0,SEC A
ID0013,153.08,185.0,10.0,10.0,SEC A
ID0014,135.2,201.25,14.0,17.0,SEC A
ID0015,96.08,213.48,11.0,6.0,SEC D
ID0016,92.6,185.5,15.0,5.0,SEC D
ID0017,27.68,77.0,7.0,1.0,SEC C
ID0018,371.76,202.82,32.0,47.0,SEC A
ID0019,88.96,176.75,11.0,16.0,SEC B
ID0020,64.16,178.0,10.0,10.0,SEC B
ID0021,0.52,58.45,29.0,21.0,SEC B
ID0022,94.36,213.8,17.0,11.0,SEC A
ID0023,51.72,33.5,8.0,9.0,SEC C
ID0024,240.72,198.0,21.0,49.0,SEC C
ID0025,60.6,190.0,10.0,14.0,SEC C
ID0026,170.28,213.0,14.0,18.0,SEC B
ID0027,77.24,171.0,12.0,14.0,SEC C
ID0028,76.24,256.9,9.0,6.0,SEC C
ID0029,98.04,188.7,16.0,11.0,SEC C
ID0030,48.24,168.3,4.0,4.0,SEC C
ID0031,28.52,1.0,3.0,4.0,SEC E
ID0032,41.64,94.0,9.0,5.0,SEC C
ID0033,77.92,207.0,5.0,7.0,SEC C
ID0034,483.0,250.36,10.0,139.0,SEC E
ID0035,53.8,23.0,5.0,7.0,SEC C
ID0036,64.8,192.82999999999998,12.0,5.0,SEC E
ID0037,44.28,27.25,9.0,45.0,SEC D
ID0038,93.56,3.75,7.0,18.0,SEC C
ID0039,197.32,209.025,23.0,21.0,SEC B
ID0040,77.92,35.46,11.0,28.0,SEC D
ID0041,89.04,201.05,31.0,59.0,SEC A
ID0042,91.72,35.75,11.0,7.0,SEC E
ID0043,394.5833333333333,291.565,30.0,53.0,SEC A
ID0044,29.96,0.1,4.0,3.0,SEC E
ID0045,99.68,182.25,16.0,6.0,SEC E
ID0046,129.52,203.76,16.0,4.0,SEC C
ID0047,39.875,4.0,3.0,6.0,SEC D
ID0048,60.88,215.0,14.0,8.0,SEC B
ID0049,193.8,176.4,11.0,63.0,SEC D
ID0050,155.84,239.0,15.0,18.0,SEC A
ID0051,48.32,28.33,3.0,6.0,SEC B
ID0052,159.64,173.99,5.0,9.0,SEC B
ID0053,71.24,191.75,9.0,5.0,SEC D
ID0054,132.12,184.0,13.0,24.0,SEC A
ID0055,87.64,193.67000000000002,10.0,3.0,SEC C
ID0056,120.48,5.8,7.0,84.0,SEC B
ID0057,120.44,199.75,14.0,9.0,SEC A
ID0058,34.16,190.0,7.0,48.0,SEC B
ID0059,89.2,221.85,13.0,22.0,SEC C
ID0060,93.2,67.33,10.0,8.0,SEC D
ID0061,83.0,136.5,14.0,7.0,SEC C
ID0062,81.28,108.75,13.0,28.0,SEC E
ID0063,125.24,175.5,7.0,18.0,SEC B
ID0064,95.4,226.35,24.0,11.0,SEC C
ID0065,92.68,16.65,8.0,10.0,SEC D
ID0066,450.92,210.54,38.0,30.0,SEC A
ID0067,155.48,168.05,11.0,15.0,SEC A
ID0068,170.6,360.0,25.0,17.0,SEC A
ID0069,321.0,193.86,10.0,152.0,SEC C
ID0070,85.0,220.5,12.0,10.0,SEC D
ID0071,156.64,188.16,11.0,5.0,SEC A
ID0072,204.64,195.43,15.0,34.0,SEC C
ID0073,34.12,197.726,13.0,10.0,SEC D
ID0074,44.96,222.63,15.0,12.0,SEC D
ID0075,92.88,202.55,6.0,4.0,SEC A
ID0076,75.88,3.25,6.0,5.0,SEC C
ID0077,131.12,169.91,12.0,31.0,SEC D
ID0078,121.96,171.55,12.0,14.0,SEC C
ID0079,244.6,263.5,21.0,20.0,SEC A
ID0080,0.0,180.5,10.0,7.0,SEC C
ID0081,152.0,229.0,19.0,26.0,SEC A
ID0082,59.52,54.25,31.0,7.0,SEC B
ID0083,180.04,186.15,26.0,50.0,SEC A
ID0084,141.76,267.08,23.0,12.0,SEC A
ID0085,114.6,192.9,7.0,8.0,SEC C
ID0086,92.48,175.63,21.0,12.0,SEC B
ID0087,100.08,201.3,17.0,22.0,SEC C
ID0088,194.64,181.5,13.0,17.0,SEC A
ID0089,139.72,220.75,17.0,16.0,SEC A
ID0090,67.88,175.05,9.0,8.0,SEC C
ID0091,106.52,141.93,22.0,12.0,SEC A
ID0092,110.08,210.24,18.0,16.0,SEC A
ID0093,176.64,265.75,23.0,45.0,SEC A
ID0094,156.36,23.721,16.0,18.0,SEC B
ID0095,83.0,206.5,18.0,32.0,SEC B
ID0096,157.2,170.5,10.0,16.0,SEC B
ID0097,132.16,242.3,15.0,9.0,SEC C
ID0098,62.8,203.25,12.0,7.0,SEC C
ID0099,32.0,0.0,4.0,14.0,SEC B
ID0100,120.92,185.52,16.0,25.0,SEC A
ID0101,148.92,77.25,15.0,24.0,SEC D
ID0102,163.72,188.75,13.0,9.0,SEC B
ID0103,256.24,187.96,19.0,13.0,SEC A
ID0104,242.36,227.5,25.0,39.0,SEC B
ID0105,150.96,281.5,21.0,21.0,SEC A
