household_ID,pairing,average_consumption
ID0001,Own - None,91.36
ID0002,Own - None,47.36
ID0003,Own - None,188.52
ID0004,Own - None,236.24
ID0005,Own - None,94.04
ID0006,Own - None,151.96
ID0007,Own - None,82.72
ID0008,Own - None,65.16
ID0009,Own - None,26.08
ID0010,Own - None,70.76
ID0011,Own - None,84.88
ID0012,Own - None,312.08
ID0013,Own - Renters,153.08
ID0014,Own - None,135.2
ID0015,Own - None,96.08
ID0016,Own - None,92.6
ID0017,Own - None,27.68
ID0018,Own - None,371.76
ID0019,Own - None,88.96
ID0020,Own - None,64.16
ID0021,Own - None,0.52
ID0022,Own - None,94.36
ID0023,Own - None,51.72
ID0024,Own - None,240.72
ID0025,Own - None,60.6
ID0026,Own - None,170.28
ID0027,Own - None,77.24
ID0028,Rent - Not Specified,76.24
ID0029,Own - None,98.04
ID0030,Own - None,48.24
ID0031,Own - None,28.52
ID0032,Own - None,41.64
ID0033,Own - None,77.92
ID0034,Own - None,483.0
ID0035,Own - None,53.8
ID0036,Own - None,64.8
ID0037,Own - None,44.28
ID0038,Own - None,93.56
ID0039,Own - None,197.32
ID0040,Own - None,77.92
ID0041,Own - None,89.04
ID0042,Own - None,91.72
ID0043,Own - None,394.5833333333333
ID0044,Own - None,29.96
ID0045,Own - None,99.68
ID0046,Rent - Not Specified,129.52
ID0047,Own - None,39.875
ID0048,Own - None,60.88
ID0049,Own - None,193.8
ID0050,Own - None,155.84
ID0051,Rent - Not Specified,48.32
ID0052,Own - None,159.64
ID0053,Own - None,71.24
ID0054,Own - Renters,132.12
ID0055,Rent Free - Not Specified,87.64
ID0056,Own - None,120.48
ID0057,Own - None,120.44
ID0058,Own - None,34.16
ID0059,Own - None,89.2
ID0060,Own - None,93.2
ID0061,Own - None,83.0
ID0062,Own - None,81.28
ID0063,Own - None,125.24
ID0064,Own - None,95.4
ID0065,Own - None,92.68
ID0066,Own - None,450.92
ID0067,Own - None,155.48
ID0068,Own - None,170.6
ID0069,Own - None,321.0
ID0070,Own - None,85.0
ID0071,Own - None,156.64
ID0072,Own - None,204.64
ID0073,Own - None,34.12
ID0074,Own - None,44.96
ID0075,Rent Free - Not Specified,92.88
ID0076,Rent - Not Specified,75.88
ID0077,Own - None,131.12
ID0078,Own - None,121.96
ID0079,Own - None,244.6
ID0080,Own - None,0.0
ID0081,Own - None,152.0
ID0082,Own - None,59.52
ID0083,Own - Renters,180.04
ID0084,Own - None,141.76
ID0085,Own - None,114.6
ID0086,Own - None,92.48
ID0087,Own - None,100.08
ID0088,Own - None,194.64
ID0089,Rent - Not Specified,139.72
ID0090,Own - None,67.88
ID0091,Rent - Not Specified,106.52
ID0092,Own - None,110.08
ID0093,Own - None,176.64
ID0094,Own - None,156.36
ID0095,Own - None,83.0
ID0096,Rent - Not Specified,157.2
ID0097,Own - None,132.16
ID0098,Own - None,62.8
ID0099,Own - None,32.0
ID0100,Rent - Not Specified,120.92
ID0101,Own - None,148.92
ID0102,Own - None,163.72
ID0103,Own - None,256.24
ID0104,Own - None,242.36
ID0105,Own - None,150.96
ID0106,Own - None,141.56
ID0107,Own - None,206.36
ID0108,Own - None,178.76
ID0109,Own - None,0.0
ID0110,Own - None,123.8
ID0111,Rent - Not Specified,169.76
ID0112,Own - None,105.72
ID0113,Own - None,188.68
ID0114,Own - None,170.2
ID0115,Own - None,240.6
