household_ID,room_ID,ac_ID,type_of_the_ac,is_the_ac_inverter_or_not,is_room_fully_sealed,wattage_of_the_ac,btu_of_the_ac,no_of_hours_ac_was_on_during_daytime_last_week,no_of_hours_ac_was_on_during_night_last_week
ID0012,I3,I3_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",1500.0,,0.0,45.0
ID0014,I3,I3_AC1,Other,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0018,I5,I5_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",2000.0,,0.0,56.0
ID0025,I2,I2_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0039,I8,I8_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,12.0,12.0
ID0039,I9,I9_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,9000.0,12.0,12.0
ID0041,I8,I8_AC1,Air Cooler,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,21.0
ID0043,I3,I3_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0043,I18,I18_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,42.0,21.0
ID0043,I19,I19_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,42.0,42.0
ID0043,I20,I20_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0054,I13,I13_AC1,Individual AC with one component,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0066,I2,I2_AC1,Individual AC with two components,No,"The room is fully closed. However, it is not fully sealed. Therefore, when the AC is on, the cool air may leak through the spaces that are not sealed such as the space in-between the door and the door frame.",0.0,9000.0,0.0,42.0
ID0066,I16,I16_AC1,Individual AC with two components,No,"The room is fully closed. However, it is not fully sealed. Therefore, when the AC is on, the cool air may leak through the spaces that are not sealed such as the space in-between the door and the door frame.",0.0,,0.0,51.0
ID0066,I17,I17_AC1,Individual AC with two components,No,"The room is fully closed. However, it is not fully sealed. Therefore, when the AC is on, the cool air may leak through the spaces that are not sealed such as the space in-between the door and the door frame.",0.0,,0.0,51.0
ID0066,I18,I18_AC1,Individual AC with two components,No,"The room is fully closed. However, it is not fully sealed. Therefore, when the AC is on, the cool air may leak through the spaces that are not sealed such as the space in-between the door and the door frame.",0.0,9000.0,0.0,0.0
ID0069,I1,I1_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",1000.0,,0.0,63.0
ID0069,I2,I2_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",1000.0,,0.0,63.0
ID0069,I3,I3_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",1000.0,,0.0,63.0
ID0069,I5,I5_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",1000.0,,0.0,63.0
ID0069,I6,I6_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",1000.0,,0.0,63.0
ID0069,I7,I7_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",1000.0,,0.0,63.0
ID0069,I8,I8_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",1000.0,,0.0,63.0
ID0072,I3,I3_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",250.0,,0.0,1.0
ID0077,I2,I2_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,1.66
ID0079,I2,I2_AC1,Individual AC with one component,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
