household_ID,room_ID,fan_ID,type_of_the_fan,no_of_hours_fan_was_on_during_daytime_last_week,no_of_hours_fan_was_on_during_night_last_week
ID0001,I1,I1_F1,Ceiling fan,0.0,0.0
ID0001,I2,I2_F1,Ceiling fan,0.0,0.0
ID0001,I3,I3_F1,Ceiling fan,0.0,0.0
ID0001,I4,I4_F1,Ceiling fan,0.0,0.0
ID0001,I5,I5_F1,Ceiling fan,0.0,0.0
ID0002,I1,I1_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0002,I1,I1_F2,Pedestal fan/ Stand fan,14.0,14.0
ID0002,I2,I2_F1,Pedestal fan/ Stand fan,14.0,2.0
ID0002,I2,I2_F2,Pedestal fan/ Stand fan,2.0,2.0
ID0002,I3,I3_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0002,I3,I3_F2,Pedestal fan/ Stand fan,0.0,14.0
ID0002,I4,I4_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0002,I4,I4_F2,Pedestal fan/ Stand fan,0.0,14.0
ID0002,I5,I5_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0002,I5,I5_F2,Pedestal fan/ Stand fan,0.0,14.0
ID0002,I6,I6_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0002,I6,I6_F2,Pedestal fan/ Stand fan,14.0,14.0
ID0002,I7,I7_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0002,I7,I7_F2,Pedestal fan/ Stand fan,0.0,14.0
ID0003,I1,I1_F1,Pedestal fan/ Stand fan,2.0,35.0
ID0003,I5,I5_F1,Pedestal fan/ Stand fan,21.0,10.0
ID0004,I5,I5_F1,Pedestal fan/ Stand fan,0.0,8.0
ID0005,I1,I1_F1,Ceiling fan,0.0,21.0
ID0005,I2,I2_F1,Ceiling fan,56.0,56.0
ID0006,I1,I1_F1,Ceiling fan,31.0,36.0
ID0006,I2,I2_F1,Table fan,48.0,98.0
ID0006,I3,I3_F1,Ceiling fan,21.0,77.0
ID0007,I2,I2_F1,Pedestal fan/ Stand fan,0.0,56.0
ID0008,I1,I1_F1,Ceiling fan,0.0,0.0
ID0008,I2,I2_F1,Ceiling fan,0.0,0.0
ID0008,I5,I5_F1,Ceiling fan,0.0,0.0
ID0008,I6,I6_F1,Ceiling fan,0.0,0.0
ID0010,I4,I4_F1,Pedestal fan/ Stand fan,2.0,8.0
ID0011,I1,I1_F1,Pedestal fan/ Stand fan,7.0,7.0
ID0011,I2,I2_F1,Pedestal fan/ Stand fan,7.0,7.0
ID0011,I3,I3_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0011,I4,I4_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0011,I5,I5_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0011,I6,I6_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0011,I7,I7_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0012,I1,I1_F1,Ceiling fan,14.0,2.0
ID0012,I2,I2_F1,Pedestal fan/ Stand fan,20.0,45.0
ID0012,I3,I3_F1,Pedestal fan/ Stand fan,6.0,24.0
ID0012,I5,I5_F1,Pedestal fan/ Stand fan,0.0,36.0
ID0012,I6,I6_F1,Pedestal fan/ Stand fan,0.0,42.0
ID0013,I1,I1_F1,Ceiling fan,0.0,0.0
ID0013,I2,I2_F1,Ceiling fan,0.0,0.0
ID0013,I3,I3_F1,Ceiling fan,0.0,0.0
ID0013,I4,I4_F1,Ceiling fan,0.0,0.0
ID0013,I9,I9_F1,Pedestal fan/ Stand fan,0.0,8.0
ID0013,I9,I9_F2,Ceiling fan,0.0,0.0
ID0014,I1,I1_F1,Ceiling fan,14.0,7.0
ID0014,I1,I1_F2,Wall fan,0.0,0.0
ID0014,I2,I2_F1,Ceiling fan,21.0,45.0
ID0014,I3,I3_F1,Pedestal fan/ Stand fan,14.0,14.0
ID0014,I4,I4_F1,Pedestal fan/ Stand fan,0.0,21.0
ID0014,I5,I5_F1,Pedestal fan/ Stand fan,0.0,10.0
ID0015,I1,I1_F1,Ceiling fan,11.0,29.0
ID0015,I2,I2_F1,Ceiling fan,0.0,67.0
ID0015,I3,I3_F1,Pedestal fan/ Stand fan,0.0,0.0
ID0016,I2,I2_F1,Pedestal fan/ Stand fan,3.0,0.0
ID0016,I3,I3_F1,Pedestal fan/ Stand fan,42.0,48.0
ID0018,I1,I1_F1,Ceiling fan,1.0,0.0
ID0018,I1,I1_F2,Ceiling fan,0.0,0.0
ID0018,I2,I2_F1,Ceiling fan,14.0,0.0
ID0018,I3,I3_F1,Ceiling fan,7.0,0.0
ID0018,I5,I5_F1,Ceiling fan,18.0,2.0
ID0018,I6,I6_F1,Ceiling fan,28.0,56.0
ID0018,I7,I7_F1,Ceiling fan,0.0,63.0
ID0019,I2,I2_F1,Pedestal fan/ Stand fan,0.0,28.0
ID0019,I3,I3_F1,Pedestal fan/ Stand fan,0.0,21.0
ID0020,I2,I2_F1,Pedestal fan/ Stand fan,0.0,60.0
ID0020,I4,I4_F1,Pedestal fan/ Stand fan,0.0,56.0
ID0021,I1,I1_F1,Ceiling fan,28.0,28.0
ID0021,I1,I1_F2,Ceiling fan,4.0,4.0
ID0021,I2,I2_F1,Pedestal fan/ Stand fan,14.0,56.0
ID0021,I3,I3_F1,Wall fan,14.0,7.0
ID0021,I4,I4_F1,Wall fan,0.5,0.0
ID0021,I5,I5_F1,Pedestal fan/ Stand fan,0.0,14.0
ID0021,I7,I7_F1,Wall fan,0.0,0.0
ID0021,I7,I7_F2,Wall fan,0.0,0.0
ID0021,I7,I7_F3,Wall fan,0.0,0.0
ID0021,I7,I7_F4,Wall fan,0.0,0.0
