household_ID,room_ID,light_ID,type_of_the_bulb,wattage_of_the_bulb,no_of_hours_bulb_was_on_during_daytime_last_week,no_of_hours_bulb_was_on_during_night_last_week
ID0001,I1,I1_L1,LED,5.0,0.0,2.0
ID0001,I1,I1_L2,LED,5.0,0.0,2.0
ID0001,I1,I1_L3,LED,5.0,0.0,2.0
ID0001,I1,I1_L4,LED,5.0,0.0,2.0
ID0001,I2,I2_L1,CFL,5.0,0.0,0.25
ID0001,I3,I3_L1,CFL,5.0,0.0,0.25
ID0001,I4,I4_L1,CFL,5.0,0.0,0.25
ID0001,I5,I5_L1,CFL,5.0,0.25,0.0
ID0001,I6,I6_L1,CFL,5.0,2.0,1.0
ID0001,I7,I7_L1,CFL,5.0,0.0,2.0
ID0002,I1,I1_L1,LED,18.0,0.0,14.0
ID0002,I1,I1_L2,CFL,15.0,2.0,14.0
ID0002,I1,I1_L3,CFL,21.0,0.0,14.0
ID0002,I1,I1_L4,CFL,15.0,0.0,14.0
ID0002,I1,I1_L5,CFL,15.0,0.0,14.0
ID0002,I1,I1_L6,CFL,15.0,0.0,14.0
ID0002,I2,I2_L1,CFL,120.0,0.0,14.0
ID0002,I2,I2_L2,CFL,120.0,0.0,14.0
ID0002,I2,I2_L3,CFL,120.0,0.0,14.0
ID0002,I2,I2_L4,CFL,120.0,0.0,14.0
ID0002,I2,I2_L5,CFL,120.0,0.0,14.0
ID0002,I2,I2_L6,CFL,120.0,0.0,14.0
ID0002,I2,I2_L7,CFL,120.0,0.0,14.0
ID0002,I2,I2_L8,CFL,120.0,0.0,14.0
ID0002,I2,I2_L9,CFL,120.0,0.0,14.0
ID0002,I2,I2_L10,CFL,120.0,0.0,14.0
ID0002,I2,I2_L11,CFL,120.0,0.0,14.0
ID0002,I2,I2_L12,CFL,120.0,0.0,14.0
ID0002,I2,I2_L13,CFL,120.0,0.0,14.0
ID0002,I2,I2_L14,CFL,120.0,0.0,14.0
ID0002,I3,I3_L1,CFL,120.0,0.0,14.0
ID0002,I3,I3_L2,CFL,120.0,0.0,14.0
ID0002,I3,I3_L3,CFL,120.0,0.0,14.0
ID0002,I3,I3_L4,CFL,120.0,0.0,14.0
ID0002,I3,I3_L5,CFL,120.0,0.0,14.0
ID0002,I3,I3_L6,CFL,120.0,0.0,14.0
ID0002,I4,I4_L1,CFL,120.0,0.0,14.0
ID0002,I4,I4_L2,CFL,120.0,0.0,14.0
ID0002,I4,I4_L3,CFL,120.0,0.0,14.0
ID0002,I4,I4_L4,CFL,120.0,0.0,14.0
ID0002,I4,I4_L5,CFL,120.0,0.0,14.0
ID0002,I4,I4_L6,CFL,120.0,0.0,14.0
ID0002,I5,I5_L1,CFL,120.0,0.0,14.0
ID0002,I5,I5_L2,CFL,120.0,0.0,14.0
ID0002,I5,I5_L3,CFL,120.0,0.0,14.0
ID0002,I5,I5_L4,CFL,120.0,0.0,14.0
ID0002,I5,I5_L5,CFL,120.0,0.0,14.0
ID0002,I5,I5_L6,CFL,120.0,0.0,14.0
ID0002,I6,I6_L1,CFL,120.0,14.0,14.0
ID0002,I6,I6_L2,CFL,120.0,0.0,14.0
ID0002,I6,I6_L3,CFL,120.0,0.0,14.0
ID0002,I6,I6_L4,CFL,120.0,0.0,14.0
ID0002,I6,I6_L5,CFL,120.0,0.0,14.0
ID0002,I6,I6_L6,CFL,120.0,0.0,14.0
ID0002,I7,I7_L1,CFL,120.0,0.0,14.0
ID0002,I7,I7_L2,CFL,120.0,0.0,14.0
ID0002,I7,I7_L3,CFL,120.0,0.0,14.0
ID0002,I7,I7_L4,CFL,120.0,0.0,14.0
ID0002,I7,I7_L5,CFL,120.0,0.0,14.0
ID0002,I7,I7_L6,CFL,120.0,0.0,14.0
ID0003,I1,I1_L1,LED,7.0,7.0,7.0
ID0003,I1,I1_L2,LED,7.0,0.0,0.0
ID0003,I2,I2_L1,LED,7.0,5.0,35.0
ID0003,I3,I3_L1,LED,15.0,21.0,35.0
ID0003,I4,I4_L1,LED,9.0,12.0,70.0
ID0003,I4,I4_L2,LED,9.0,12.0,70.0
ID0003,I5,I5_L1,LED,9.0,9.0,35.0
ID0003,I5,I5_L2,LED,12.0,21.0,10.0
ID0003,I5,I5_L3,LED,12.0,10.0,21.0
ID0003,I5,I5_L4,LED,12.0,0.0,0.0
ID0003,I5,I5_L5,LED,12.0,0.0,0.0
ID0003,I5,I5_L6,LED,12.0,21.0,21.0
ID0003,I6,I6_L1,LED,12.0,1.0,1.0
ID0003,I8,I8_L1,LED,7.0,2.0,12.0
ID0003,I9,I9_L1,LED,7.0,10.0,12.0
ID0003,I10,I10_L1,LED,12.0,12.0,21.0
ID0004,I1,I1_L1,CFL,8.0,0.0,8.0
ID0004,I1,I1_L2,LED,5.0,0.0,0.0
ID0004,I1,I1_L3,LED,1.0,0.0,4.0
ID0004,I1,I1_L4,LED,1.0,0.0,4.0
ID0004,I1,I1_L5,LED,7.0,0.0,4.0
ID0004,I1,I1_L6,LED,7.0,1.0,4.0
ID0004,I1,I1_L7,LED,7.0,0.0,4.0
ID0004,I1,I1_L8,LED,7.0,0.0,4.0
ID0004,I2,I2_L1,LED,7.0,1.0,2.0
ID0004,I2,I2_L2,LED,7.0,0.0,2.0
ID0004,I3,I3_L1,LED,7.0,0.0,2.0
ID0004,I3,I3_L2,LED,7.0,0.0,2.0
ID0004,I4,I4_L1,LED,7.0,0.0,2.0
ID0004,I4,I4_L2,LED,7.0,0.0,2.0
ID0004,I5,I5_L1,LED,7.0,0.0,4.0
ID0004,I5,I5_L2,LED,7.0,0.0,2.0
ID0004,I6,I6_L1,LED,7.0,0.0,5.0
ID0004,I6,I6_L2,LED,7.0,0.0,4.0
ID0004,I7,I7_L1,LED,7.0,0.0,0.0
ID0004,I7,I7_L2,LED,7.0,0.0,0.0
ID0004,I7,I7_L3,LED,7.0,0.0,0.0
ID0004,I7,I7_L4,LED,0.0,0.0,0.0
ID0004,I8,I8_L1,LED,7.0,1.0,2.0
