household_ID,room_ID,main_purpose_of_the_room,storey_which_the_room_located,main_material_used_for_the_roof_of_the_room,type_of_ceiling_of_the_room,main_material_used_for_the_floor_of_the_room,no_of_doors_opened_to_external_environment,no_of_windows,main_material_used_for_window_panes,have_curtains_or_blinds_for_windows,have_extra_ventilation_openings,no_of_bulbs_in_the_room,no_of_bulbs_used_during_last_week,no_of_fans_in_the_room,no_of_ACs_in_the_room
ID0001,I1      ,Living room,0.0,Asbestos,A beamed ceiling,Tile,1.0,2.0,Glass,Yes,No,4.0,,1.0,0.0
ID0001,I2      ,Bedrooms,0.0,Asbestos,A beamed ceiling,Tile,1.0,1.0,Glass,Yes,No,1.0,,1.0,0.0
ID0001,I3      ,Bedrooms,0.0,Asbestos,A beamed ceiling,Tile,1.0,1.0,Glass,Yes,No,1.0,,1.0,0.0
ID0001,I4      ,Bedrooms,1.0,Asbestos,A beamed ceiling,Cement,1.0,1.0,Glass,Yes,No,1.0,,1.0,0.0
ID0001,I5      ,Bedrooms,1.0,Asbestos,A beamed ceiling,Cement,1.0,1.0,Glass,Yes,No,1.0,,1.0,0.0
ID0001,I6      ,Kitchen and/ or pantry,1.0,Asbestos,A beamed ceiling,Tile,1.0,1.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0001,I7      ,Bathroom and / or toilets,0.0,Asbestos,A beamed ceiling,Tile,1.0,0.0,,,Yes,1.0,,0.0,0.0
ID0001,I8      ,Gaming room,0.0,Asbestos,"No ceiling, the concrete slab",Concrete,0.0,0.0,,,No,0.0,,0.0,0.0
ID0001,I9      ,Servant's Room,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID0001,I10     ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID0002,I1      ,Living room,0.0,Asbestos,A conventional ceiling,Cement,2.0,3.0,Glass,Yes,Yes,6.0,,2.0,0.0
ID0002,I2      ,Bedrooms,0.0,Asbestos,A conventional ceiling,Cement,2.0,3.0,Glass,Yes,Yes,14.0,,2.0,0.0
ID0002,I3      ,Bedrooms,0.0,Asbestos,A conventional ceiling,Cement,2.0,3.0,Glass,Yes,Yes,6.0,,2.0,0.0
ID0002,I4      ,Bedrooms,0.0,Asbestos,A conventional ceiling,Cement,2.0,3.0,Glass,Yes,Yes,6.0,,2.0,0.0
ID0002,I5      ,Kitchen and/ or pantry,0.0,Asbestos,A conventional ceiling,Cement,2.0,3.0,Glass,Yes,Yes,6.0,,2.0,0.0
ID0002,I6      ,Bathroom and / or toilets,0.0,Asbestos,A conventional ceiling,Cement,2.0,3.0,Glass,Yes,Yes,6.0,,2.0,0.0
ID0002,I7      ,Passage,0.0,Asbestos,A conventional ceiling,Cement,2.0,3.0,Glass,Yes,Yes,6.0,,2.0,0.0
ID0002,I8      ,Veranda,,,,,,,,,,,,,
ID0002,I9      ,Veranda,,,,,,,,,,,,,
ID0002,I10     ,Veranda,,,,,,,,,,,,,
ID0003,I1      ,Living room,0.0,Asbestos,A conventional ceiling,Cement,1.0,1.0,Glass,Yes,Yes,2.0,,1.0,0.0
ID0003,I2      ,Bedrooms,0.0,Asbestos,A conventional ceiling,Cement,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0003,I3      ,Bedrooms,0.0,Asbestos,A conventional ceiling,Cement,2.0,1.0,Glass,No,Yes,1.0,,0.0,0.0
ID0003,I4      ,Bedrooms,0.0,Tile,Wooden ceiling,Cement,0.0,0.0,,,No,2.0,,0.0,0.0
ID0003,I5      ,Kitchen and/ or pantry,0.0,Tile,Wooden ceiling,Cement,3.0,2.0,Glass,Yes,Yes,6.0,,1.0,0.0
ID0003,I6      ,Bathroom and / or toilets,0.0,Asbestos,A conventional ceiling,Cement,1.0,0.0,,,No,1.0,,0.0,0.0
